fecha,dia_semana,id_chat,horario_inicio,medio,tipo,q_mensajes_enviados,q_mensajes_recibidos,q_mensajes,sticker,audio
1/11/2021,Lunes,27,1/11/2021 08:55,WA,Personal,6,3,9,0,0
1/11/2021,Lunes,5,1/11/2021 08:56,WA,Personal,3,20,23,2,0
1/11/2021,Lunes,1,1/11/2021 09:00,Teams,Laboral,1,7,8,1,0
1/11/2021,Lunes,21,1/11/2021 09:06,WA,Personal,1,5,6,0,0
1/11/2021,Lunes,30,1/11/2021 09:16,Teams,Laboral,3,10,13,0,0
1/11/2021,Lunes,7,1/11/2021 09:37,Teams,Laboral,4,2,6,0,0
1/11/2021,Lunes,14,1/11/2021 10:14,WA,Personal,2,4,6,0,0
1/11/2021,Lunes,23,1/11/2021 10:19,Teams,Laboral,20,26,46,1,0
1/11/2021,Lunes,3,1/11/2021 10:37,WA,Personal,32,29,61,1,0
1/11/2021,Lunes,5,1/11/2021 10:37,WA,Personal,3,11,14,1,0
1/11/2021,Lunes,21,1/11/2021 10:57,WA,Personal,1,4,5,0,0
1/11/2021,Lunes,33,1/11/2021 11:11,Teams,Laboral,7,8,15,0,0
1/11/2021,Lunes,2,1/11/2021 11:19,Teams,Laboral,51,60,111,0,0
1/11/2021,Lunes,9,1/11/2021 11:20,Teams,Laboral,11,15,26,0,0
1/11/2021,Lunes,9,1/11/2021 11:27,WA,Personal,7,7,14,0,0
1/11/2021,Lunes,1,1/11/2021 11:36,WA,Personal,16,3,19,2,0
1/11/2021,Lunes,9,1/11/2021 14:26,Teams,Laboral,27,33,60,2,0
1/11/2021,Lunes,2,1/11/2021 14:35,Teams,Laboral,55,56,111,0,0
1/11/2021,Lunes,20,1/11/2021 14:38,WA,Personal,0,2,2,0,0
1/11/2021,Lunes,26,1/11/2021 15:20,WA,Laboral,0,9,9,0,0
1/11/2021,Lunes,5,1/11/2021 16:29,WA,Personal,6,17,23,4,2
1/11/2021,Lunes,15,1/11/2021 16:57,Teams,Personal,7,11,18,0,0
1/11/2021,Lunes,6,1/11/2021 18:47,WA,Personal,6,3,9,0,0
2/11/2021,Martes,21,2/11/2021 07:09,WA,Personal,0,2,2,0,0
2/11/2021,Martes,15,2/11/2021 07:59,Teams,Personal,5,5,10,0,0
